"","formulaString","adj_r2"
"377","salary~AST+BLK+`eFG%`",0.394754401304462
"378","salary~BLK+AST+`eFG%`",0.394754401304462
"379","salary~`eFG%`+AST+BLK",0.394754401304462
"380","salary~AST*BLK*Pos",0.443735646733454
"381","salary~AST*BLK+Pos",0.418733970717613
"382","salary~AST*Pos+BLK",0.443688537123518
"383","salary~BLK*Pos+AST",0.403890319675046
"384","salary~AST+BLK+Pos",0.405959309819149
"385","salary~BLK+AST+Pos",0.405959309819149
"386","salary~Pos+AST+BLK",0.405959309819149
"387","salary~AST*BLK*Age",0.547377179754446
"388","salary~AST*BLK+Age",0.499665232182442
"389","salary~AST*Age+BLK",0.539214536398912
"390","salary~BLK*Age+AST",0.490751306329984
"391","salary~AST+BLK+Age",0.483975971888614
"392","salary~BLK+AST+Age",0.483975971888614
"393","salary~Age+AST+BLK",0.483975971888614
"394","salary~AST*`eFG%`*Pos",0.434384259675958
"395","salary~AST*`eFG%`+Pos",0.393020372958011
"396","salary~AST*Pos+`eFG%`",0.438777345581831
"397","salary~`eFG%`*Pos+AST",0.387018398436747
"398","salary~AST+`eFG%`+Pos",0.391854288557013
"399","salary~`eFG%`+AST+Pos",0.391854288557013
"400","salary~Pos+AST+`eFG%`",0.391854288557013
"401","salary~AST*`eFG%`*Age",0.499896761629906
"402","salary~AST*`eFG%`+Age",0.453821460333026
"403","salary~AST*Age+`eFG%`",0.501365724870956
"404","salary~`eFG%`*Age+AST",0.448384194450553
"405","salary~AST+`eFG%`+Age",0.449521889725468
"406","salary~`eFG%`+AST+Age",0.449521889725468
"407","salary~Age+AST+`eFG%`",0.449521889725468
"408","salary~AST*Pos*Age",0.560970336195169
"409","salary~AST*Pos+Age",0.511036038207553
"410","salary~AST*Age+Pos",0.522631179914261
"411","salary~Pos*Age+AST",0.479066572706352
"412","salary~AST+Pos+Age",0.47254211507179
"413","salary~Pos+AST+Age",0.47254211507179
"414","salary~Age+AST+Pos",0.47254211507179
"415","salary~STL*BLK*`eFG%`",0.26191118862269
"416","salary~STL*BLK+`eFG%`",0.259999004588249
"417","salary~STL*`eFG%`+BLK",0.264635661602098
"418","salary~BLK*`eFG%`+STL",0.264935553369677
"419","salary~STL+BLK+`eFG%`",0.261210951955189
"420","salary~BLK+STL+`eFG%`",0.261210951955189
"421","salary~`eFG%`+STL+BLK",0.261210951955189
"422","salary~STL*BLK*Pos",0.294424322869655
"423","salary~STL*BLK+Pos",0.271950051083862
"424","salary~STL*Pos+BLK",0.282382047399212
"425","salary~BLK*Pos+STL",0.276274268781189
"426","salary~STL+BLK+Pos",0.273417521202811
"427","salary~BLK+STL+Pos",0.273417521202811
"428","salary~Pos+STL+BLK",0.273417521202811
"429","salary~STL*BLK*Age",0.415170618853522
"430","salary~STL*BLK+Age",0.367671037145663
"431","salary~STL*Age+BLK",0.411611215360411
"432","salary~BLK*Age+STL",0.379357631934762
"433","salary~STL+BLK+Age",0.368950101925024
"434","salary~BLK+STL+Age",0.368950101925024
"435","salary~Age+STL+BLK",0.368950101925024
"436","salary~STL*`eFG%`*Pos",0.288931934433415
"437","salary~STL*`eFG%`+Pos",0.260339115892075
"438","salary~STL*Pos+`eFG%`",0.275456453279252
"439","salary~`eFG%`*Pos+STL",0.25656443652191
"440","salary~STL+`eFG%`+Pos",0.260880536430325
"441","salary~`eFG%`+STL+Pos",0.260880536430325
"442","salary~Pos+STL+`eFG%`",0.260880536430325
"443","salary~STL*`eFG%`*Age",0.384680617079937
"444","salary~STL*`eFG%`+Age",0.347524170210709
"445","salary~STL*Age+`eFG%`",0.385916775714114
"446","salary~`eFG%`*Age+STL",0.346817200756219
"447","salary~STL+`eFG%`+Age",0.347999394653627
"448","salary~`eFG%`+STL+Age",0.347999394653627
"449","salary~Age+STL+`eFG%`",0.347999394653627
"450","salary~STL*Pos*Age",0.409991929981332
"451","salary~STL*Pos+Age",0.374337626302089
"452","salary~STL*Age+Pos",0.396576955156801
"453","salary~Pos*Age+STL",0.37140764586699
